epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.1522,1.58094,3.70317,1.65395,0.00741,0.62742,0.08538,0.05303,1.77207,4.33073,1.79669,0.00026,0.00026,0.00026
2,161.325,1.64649,3.0754,1.64252,0.01204,0.7349,0.12191,0.06691,1.95348,4.05189,1.96661,0.000519506,0.000519506,0.000519506
3,258.153,1.66969,2.97475,1.61945,0.49486,0.14948,0.1075,0.05906,1.97778,3.55473,2.19339,0.00076832,0.00076832,0.00076832
4,353.869,1.64516,2.89901,1.63602,0.44303,0.12186,0.09148,0.04309,1.79073,3.3438,2.03046,0.0009406,0.0009406,0.0009406
5,435.73,1.58897,2.83017,1.59227,0.51358,0.1537,0.11328,0.0527,1.77867,3.36805,2.06625,0.0009208,0.0009208,0.0009208
6,500.415,1.6497,2.84436,1.68248,0.35812,0.17478,0.146,0.06546,1.68594,3.25966,2.01914,0.000901,0.000901,0.000901
7,566.238,1.59392,2.65657,1.60115,0.55004,0.13727,0.11589,0.06441,1.81484,4.85218,2.32219,0.0008812,0.0008812,0.0008812
8,631.879,1.59608,2.69057,1.61454,0.58574,0.12485,0.13308,0.06199,1.66807,4.01514,1.99667,0.0008614,0.0008614,0.0008614
9,700.925,1.58352,2.60395,1.58433,0.54383,0.23065,0.20175,0.09898,1.67676,3.36091,1.97003,0.0008416,0.0008416,0.0008416
10,1328.77,1.52934,2.5314,1.55636,0.55142,0.21402,0.2084,0.09615,1.73186,4.06887,2.06942,0.0008218,0.0008218,0.0008218
11,1391.72,1.54705,2.50486,1.58481,0.44958,0.22835,0.2501,0.12838,1.80387,3.47456,2.13965,0.000802,0.000802,0.000802
12,1455.07,1.50913,2.45756,1.55687,0.55803,0.23552,0.28055,0.14877,1.68085,3.232,1.94168,0.0007822,0.0007822,0.0007822
13,1519.87,1.5173,2.36364,1.55394,0.50374,0.31602,0.28479,0.13609,1.69891,3.2864,1.97787,0.0007624,0.0007624,0.0007624
14,1584.2,1.52566,2.31718,1.54758,0.58561,0.2255,0.24138,0.12478,1.81268,2.94486,2.03265,0.0007426,0.0007426,0.0007426
15,63803.7,1.49754,2.24892,1.50407,0.42906,0.22861,0.27985,0.15387,1.74223,2.7202,1.91306,0.0007228,0.0007228,0.0007228
16,63954.4,1.43564,2.18257,1.48614,0.63743,0.17556,0.24085,0.13429,1.64884,2.81637,1.82138,0.000703,0.000703,0.000703
17,64149.8,1.43247,2.24687,1.47539,0.50435,0.32923,0.24379,0.12204,1.65755,2.87777,1.83239,0.0006832,0.0006832,0.0006832
18,64339.7,1.44853,2.22001,1.51319,0.41454,0.29627,0.28197,0.16074,1.64904,2.63272,1.8038,0.0006634,0.0006634,0.0006634
19,64506.2,1.40092,2.05071,1.42333,0.48735,0.28447,0.30127,0.17076,1.65488,2.50629,1.8191,0.0006436,0.0006436,0.0006436
20,64699.5,1.4749,2.19762,1.5279,0.52365,0.28363,0.29335,0.15676,1.6421,2.57109,1.90252,0.0006238,0.0006238,0.0006238
21,64892.4,1.35803,2.11245,1.43977,0.76345,0.29041,0.36376,0.20646,1.57723,2.40016,1.85791,0.000604,0.000604,0.000604
22,65086,1.36715,2.01197,1.43055,0.65191,0.39957,0.36536,0.20528,1.65254,2.3364,1.84298,0.0005842,0.0005842,0.0005842
23,65285.7,1.3813,2.0147,1.43736,0.65454,0.38533,0.39492,0.2163,1.63268,2.30274,1.81737,0.0005644,0.0005644,0.0005644
24,65494.3,1.36181,1.90936,1.42813,0.61664,0.39367,0.35237,0.18158,1.64148,2.40468,1.84263,0.0005446,0.0005446,0.0005446
25,65702.7,1.41569,1.9603,1.43375,0.50991,0.37805,0.33652,0.17448,1.64093,2.42348,1.89977,0.0005248,0.0005248,0.0005248
26,66419.5,1.32041,1.85603,1.42115,0.56331,0.30665,0.35374,0.20132,1.63308,2.50748,1.83824,0.000505,0.000505,0.000505
27,66628,1.32371,1.90571,1.4001,0.52241,0.38045,0.39349,0.21509,1.59308,2.42494,1.79497,0.0004852,0.0004852,0.0004852
28,66817.3,1.33177,1.79212,1.36769,0.63825,0.39104,0.38908,0.2339,1.583,2.33007,1.77636,0.0004654,0.0004654,0.0004654
29,67007,1.26258,1.76866,1.3613,0.4609,0.44112,0.31284,0.18908,1.58376,2.3713,1.78136,0.0004456,0.0004456,0.0004456
30,67207.4,1.28692,1.74203,1.393,0.35357,0.34204,0.31767,0.19891,1.6372,2.38501,1.83726,0.0004258,0.0004258,0.0004258
31,68683.8,1.22848,1.61987,1.34405,0.38064,0.42098,0.37241,0.20922,1.6337,2.43649,1.83548,0.000406,0.000406,0.000406
32,68869.2,1.29313,1.65951,1.34916,0.66457,0.37684,0.39692,0.2289,1.6348,2.30018,1.87008,0.0003862,0.0003862,0.0003862
33,69110.5,1.23896,1.71375,1.318,0.46997,0.42488,0.40485,0.23413,1.58282,2.29231,1.79316,0.0003664,0.0003664,0.0003664
34,69171.4,1.23483,1.7052,1.34924,0.69695,0.32535,0.41452,0.24548,1.5134,2.27899,1.73648,0.0003466,0.0003466,0.0003466
35,69234.9,1.20833,1.59342,1.29881,0.53722,0.31371,0.37145,0.22522,1.50414,2.30582,1.78399,0.0003268,0.0003268,0.0003268
36,69297.3,1.24532,1.61107,1.32808,0.70644,0.28747,0.34944,0.20394,1.51705,2.26756,1.79357,0.000307,0.000307,0.000307
